iter	Passed	Remaining
0	1	1476
1	2	1350
2	3	1298
3	5	1297
4	6	1264
5	7	1226
6	8	1200
7	9	1221
8	11	1234
9	12	1222
10	13	1215
11	14	1201
12	15	1208
13	17	1199
14	18	1194
15	19	1182
16	20	1172
17	21	1164
18	22	1164
19	23	1163
20	25	1179
21	26	1183
22	27	1186
23	29	1186
24	30	1185
25	31	1181
26	32	1176
27	33	1175
28	35	1172
29	36	1170
30	37	1181
31	39	1182
32	40	1187
33	41	1188
34	43	1189
35	44	1188
36	45	1189
37	46	1182
38	47	1175
39	48	1170
40	49	1169
41	51	1165
42	52	1162
43	54	1193
44	56	1197
45	57	1194
46	58	1191
47	60	1191
48	61	1191
49	62	1186
50	63	1181
51	64	1178
52	65	1174
53	66	1171
54	67	1167
55	69	1170
56	71	1177
57	73	1187
58	74	1187
59	75	1187
60	76	1184
61	78	1181
62	79	1179
63	80	1176
64	81	1171
65	82	1172
66	84	1177
67	85	1178
68	88	1190
69	89	1194
70	91	1191
71	92	1186
72	93	1186
73	94	1183
74	95	1180
75	96	1177
76	98	1176
77	99	1178
78	101	1179
79	102	1177
80	103	1175
81	104	1172
82	105	1165
83	106	1163
84	107	1161
85	109	1166
86	111	1167
87	112	1169
88	114	1169
89	115	1170
90	117	1169
91	119	1177
92	120	1174
93	121	1170
94	122	1167
95	123	1165
96	126	1175
97	127	1173
98	129	1177
99	131	1186
100	134	1197
101	136	1198
102	137	1200
103	140	1209
104	142	1215
105	146	1231
106	147	1234
107	149	1233
108	150	1234
109	152	1237
110	154	1239
111	157	1245
112	160	1259
113	165	1288
114	167	1292
115	169	1292
116	171	1291
117	173	1293
118	177	1310
119	178	1309
120	179	1307
121	181	1305
122	182	1304
123	184	1305
124	187	1309
125	190	1319
126	191	1315
127	192	1313
128	194	1311
129	195	1310
130	197	1307
131	198	1304
132	199	1302
133	201	1300
134	202	1298
135	203	1295
136	205	1291
137	206	1288
138	207	1285
139	208	1282
140	209	1278
141	210	1272
142	211	1269
143	212	1265
144	215	1269
145	219	1281
146	220	1279
147	222	1281
148	224	1281
149	226	1280
150	227	1280
151	229	1278
152	230	1276
153	232	1275
154	233	1273
155	235	1272
156	236	1269
157	237	1265
158	238	1262
159	239	1259
160	240	1253
161	241	1250
162	242	1246
163	244	1245
164	245	1242
165	246	1238
166	247	1235
167	248	1232
168	250	1229
169	251	1226
170	252	1222
171	253	1219
172	254	1216
173	255	1213
174	256	1211
175	258	1208
176	259	1206
177	260	1203
178	262	1201
179	263	1198
180	264	1196
181	265	1193
182	266	1189
183	267	1186
184	268	1183
185	269	1180
186	270	1177
187	271	1174
188	273	1172
189	274	1169
190	275	1166
191	276	1163
192	277	1160
193	278	1157
194	279	1154
195	280	1151
196	281	1148
197	283	1146
198	284	1143
199	285	1140
200	286	1137
201	287	1135
202	288	1134
203	290	1132
204	291	1130
205	292	1128
206	293	1125
207	295	1123
208	296	1121
209	297	1118
210	298	1116
211	300	1115
212	301	1114
213	303	1114
214	304	1113
215	306	1112
216	308	1112
217	309	1109
218	310	1106
219	311	1103
220	312	1101
221	313	1098
222	314	1095
223	315	1093
224	316	1091
225	318	1089
226	319	1088
227	320	1086
228	321	1083
229	322	1080
230	324	1078
231	325	1076
232	326	1073
233	327	1071
234	328	1069
235	329	1067
236	330	1064
237	331	1062
238	333	1060
239	334	1058
240	335	1056
241	336	1053
242	337	1051
243	338	1049
244	339	1046
245	340	1044
246	341	1041
247	342	1039
248	343	1036
249	344	1034
250	345	1032
251	347	1030
252	348	1028
253	349	1026
254	350	1024
255	351	1022
256	352	1020
257	353	1018
258	355	1015
259	356	1013
260	357	1011
261	358	1009
262	359	1007
263	360	1005
264	362	1004
265	363	1002
266	364	1001
267	365	998
268	366	997
269	367	994
270	368	992
271	370	990
272	371	988
273	372	986
274	373	984
275	374	982
276	375	980
277	377	979
278	378	978
279	379	977
280	381	975
281	382	973
282	383	971
283	384	968
284	385	966
285	386	964
286	387	962
287	388	961
288	389	959
289	391	957
290	392	955
291	393	953
292	394	952
293	395	950
294	396	948
295	398	947
296	399	944
297	400	942
298	401	941
299	402	939
300	403	937
301	404	935
302	406	934
303	407	932
304	408	930
305	409	928
306	410	927
307	411	925
